duration,names,views,time
3:27,Lauv - All 4 Nothing (I'm So In Love) (Live Performance) | Vevo,56K views,9 days ago
Tickets for my All 4 Nothing tour are on sale nowwww!!,14K views,1 month ago
Can’t wait for more of these!!!,25K views,1 month ago
23:36,Lauv - YouTube Premium Afterparty,Streamed 1 month ago,Premium
3:17,Lauv - All 4 Nothing (I'm So In Love) [Official Video],3.8M views,1 month ago
How soon is soon?,60K views,1 month ago
What’s good Avril Lavigne,71K views,2 months ago
Good morning doggies,26K views,2 months ago
2:41,Lauv - 26 [Official Video],872K views,3 months ago
Can’t believe they didn’t end up using it :/,58K views,3 months ago
2:39,Lauv - 26 [Official Audio],1.4M views,3 months ago
26 by lauv out january 28th!!!!,41K views,4 months ago
"NEXT ALBUM IS DONE, FIRST SONG COMING ON THE 28TH. ITS CALLED “26”. YA DUH, LAUV IS BACK!!!!",41K views,4 months ago
1:00:44,"Breaking Modern Loneliness, May 2021",470K views,11 months ago
3:16,Lauv - 2021 [Official Audio],1.6M views,1 year ago
2:26,Lauv & Conan Gray - Fake [Acoustic],1M views,1 year ago
1:28,Lauv & Conan Gray - Fake [Behind The Scenes of the Music Video],144K views,1 year ago
47:44,Breaking Modern Loneliness: Conversations on Mental Health (Finding Mental Health Online),20K views,1 year ago
2:43,Lauv & Conan Gray - Fake [Official Music Video],14M views,1 year ago
40:29,Breaking Modern Loneliness: Conversations on Mental Health (Finding Mental Health in Community),33K views,Streamed 1 year ago
1:09:57,WATCH LATER,Breaking Modern Loneliness: Conversations on Mental Health (Finding Mental Health in Isolation),215K views
1:17,Breaking Modern Loneliness: World Mental Health Day,72K views,1 year ago
2:33,Lauv - Love Somebody [Acoustic for Digital FADER FORT],894K views,1 year ago
2:24,Lauv - Love Somebody [Official Video],7.2M views,1 year ago
