8:01,ASKING GIRLS DIRTY QUESTIONS YOU’RE TOO SCARED TO…,25K views,2 hours ago
13:53,IS COACHELLA OVERRATED? 2022 REVIEW,367K views,4 days ago
12:34,GIRLFRIENDS MOM TAKES ME THROUGH INTENSE WORKOUT,499K views,7 days ago
12:51,CAN 100LB GIRL SURVIVE 300LB BODYBUILDING WORKOUT?,548K views,11 days ago
10:06,TRAINING W/ A FEMALE GIANT,1.5M views,2 weeks ago
9:03,FAKE MUSCLE SUIT PRANK 2!,539K views,2 weeks ago
10:26,BODYBUILDING W/ ‘THE MOUNTAIN’ FROM GAME OF THRONES,526K views,3 weeks ago
10:25,CAN MY GIRLFRIEND SURVIVE A BRUTAL CHEST WORKOUT?!,607K views,3 weeks ago
8:08,ASKING SPRING BREAK GIRLS QUESTIONS YOU’RE TOO AFRAID TO…,807K views,4 weeks ago
12:32,BODYBUILDER GOES ON COLLEGE SPRING BREAK,905K views,1 month ago
9:54,ARE YOU ON STEROIDS!? | EXPOSING BODYBUILDERS,1.5M views,1 month ago
11:47,MONSTER JUNGLE GYM WORKOUT W/ LARRY WHEELS & JOESTHETICS,899K views,1 month ago
13:56,FAKE WEIGHTS PRANK ON LARRY WHEELS,4M views,1 month ago
8:18,EDDIE HALL VS. THOR 'THE MOUNTAIN' BJORNSSON | FULL FIGHT HIGHLIGHTS,3M views,1 month ago
15:13,I KNOCKED OUT MY GIRLFRIENDS BROTHER,469K views,1 month ago
11:35,WHAT I EAT TO LOSE FAT FAST & EFFICIENT,393K views,1 month ago
12:49,PRANKING MY GIRLFRIEND FOR 24 HOURS!,951K views,1 month ago
11:56,TRYING GIRLFRIENDS BOOTY ROUTINE,736K views,1 month ago
13:55,MEET THE NEW GIRL...,625K views,2 months ago
8:29,IS PRO FEMALE BODYBUILDER STRONGER THAN A MAN?,744K views,2 months ago
14:05,WATCH LATER,SPENDING THE NIGHT WITH STRANGERS (ft. Kelly Wakasa),413K views
17:32,30 DAY NATURAL STEROID TRANSFORMATION (Turkesterone Results),1.5M views,2 months ago
8:54,FAKE MUSCLE SUIT PRANK,2.2M views,2 months ago
11:34,"PUBLIC STRENGTH COMPETITION! (Lift this, Win $1,000)",1.8M views,2 months ago
